Name,Sex,Event,Equipment,Age,AgeClass,BirthYearClass,Division,BodyweightKg,WeightClassKg,Squat1Kg,Squat2Kg,Squat3Kg,Squat4Kg,Best3SquatKg,Bench1Kg,Bench2Kg,Bench3Kg,Bench4Kg,Best3BenchKg,Deadlift1Kg,Deadlift2Kg,Deadlift3Kg,Deadlift4Kg,Best3DeadliftKg,TotalKg,Place,Dots,Wilks,Glossbrenner,Goodlift,Tested,Country,State,Federation,ParentFederation,Date,MeetCountry,MeetState,MeetTown,MeetName,Sanctioned
Fran Hranilović,M,B,Raw,,,14-18,Sub-Juniors,82.4,83,,,,,,72.5,77.5,85,,85,,,,,,85,1,57.62,56.98,54.83,42.85,Yes,,,HPLS,IPF,2025-12-18,Croatia,,Zagreb,14. Državno prvenstvo u powerliftingu i bench pressu,Yes
Teo Imbrišić,M,B,Raw,,,19-23,Juniors,88,93,,,,,,130,140,-145,,140,,,,,,140,3,91.57,90.43,86.75,68.27,Yes,,,HPLS,IPF,2025-12-18,Croatia,,Zagreb,14. Državno prvenstvo u powerliftingu i bench pressu,Yes
Petar Ovčar,M,B,Raw,,,19-23,Juniors,80.5,83,,,,,,107.5,112.5,120,,120,,,,,,120,1,82.44,81.60,78.61,61.23,Yes,,,HPLS,IPF,2025-12-18,Croatia,,Zagreb,14. Državno prvenstvo u powerliftingu i bench pressu,Yes
Jakov Tenžera,M,SBD,Raw,,,,Open,134.6,120+,-210,210,-220,,210,200,-206,206,,206,220,237.5,250,,250,666,4,369.10,374.45,356.88,73.76,Yes,,,HPLS,IPF,2025-12-18,Croatia,,Zagreb,14. Državno prvenstvo u powerliftingu i bench pressu,Yes
Benjamin Varvodić,M,SBD,Raw,,,,Open,116,120,180,200,-207.5,,200,115,-125,125,,125,200,215,225,,225,550,7,319.54,318.85,305.30,64.90,Yes,,,HPLS,IPF,2025-12-18,Croatia,,Zagreb,14. Državno prvenstvo u powerliftingu i bench pressu,Yes
Robert Cindrić,M,SBD,Raw,,,,Open,107.3,120,190,200,-205,,200,135,-142.5,142.5,,142.5,235,245,255,,255,597.5,6,357.27,354.42,338.53,73.03,Yes,,,HPLS,IPF,2025-12-18,Croatia,,Zagreb,14. Državno prvenstvo u powerliftingu i bench pressu,Yes
Lovre Čolak,M,SBD,Raw,,,,Open,118.2,120,245,260,270,,270,140,150,-155,,150,250,-265,265,,265,685,5,395.40,395.24,378.65,80.16,Yes,,,HPLS,IPF,2025-12-18,Croatia,,Zagreb,14. Državno prvenstvo u powerliftingu i bench pressu,Yes
Marko Siladi,M,SBD,Raw,,,,Open,74.2,83,122.5,130,137.5,,137.5,90,95,-100,,95,145,157.5,-162.5,,157.5,390,14,281.73,280.00,270.67,57.18,Yes,,,HPLS,IPF,2025-12-18,Croatia,,Zagreb,14. Državno prvenstvo u powerliftingu i bench pressu,Yes
Luka Milačić,M,SBD,Raw,,,,Open,81.6,83,135,145,-155,,145,110,-120,120,,120,145,155,165,,165,430,13,293.11,289.98,279.15,60.04,Yes,,,HPLS,IPF,2025-12-18,Croatia,,Zagreb,14. Državno prvenstvo u powerliftingu i bench pressu,Yes
Silvio Krčelić,M,SBD,Raw,,,,Open,76.3,83,150,-162.5,172.5,,172.5,105,112.5,-120,,112.5,170,185,-192.5,,185,470,12,333.54,330.97,319.56,67.92,Yes,,,HPLS,IPF,2025-12-18,Croatia,,Zagreb,14. Državno prvenstvo u powerliftingu i bench pressu,Yes
Mateo Vuk,M,SBD,Raw,,,,Open,81,83,167.5,-172.5,172.5,,172.5,112.5,-115,-120,,112.5,200,-202.5,-202.5,,200,485,11,332.01,328.55,316.39,67.97,Yes,,,HPLS,IPF,2025-12-18,Croatia,,Zagreb,14. Državno prvenstvo u powerliftingu i bench pressu,Yes
Jure Ljulj,M,SBD,Raw,27,24-34,24-39,Open,81.6,83,-180,180,-195,,180,120,130,137.5,,137.5,215,230,240,,240,557.5,9,380.02,375.96,361.93,77.84,Yes,,,HPLS,IPF,2025-12-18,Croatia,,Zagreb,14. Državno prvenstvo u powerliftingu i bench pressu,Yes
Žarko Novak,M,SBD,Raw,,,60-69,Masters 3,92.3,93,25,-75,-75,,25,120,133,-137,,133,65,-125,,,65,223,2,142.40,140.59,134.60,29.28,Yes,,,HPLS,IPF,2025-12-18,Croatia,,Zagreb,14. Državno prvenstvo u powerliftingu i bench pressu,Yes
Žarko Novak,M,B,Raw,,,60-69,Masters 3,91.5,93,,,,,,121,135,-141,,135,,,,,,135,1,86.58,85.47,81.86,64.56,Yes,,,HPLS,IPF,2025-12-18,Croatia,,Zagreb,14. Državno prvenstvo u powerliftingu i bench pressu,Yes
Vjekoslav Babić,M,SBD,Raw,,,50-59,Masters 2,78.2,83,60.5,70.5,80.5,,80.5,45.5,50.5,55.5,,55.5,100.5,110.5,115.5,,115.5,251.5,1,175.80,174.23,168.04,35.89,Yes,,,HPLS,IPF,2025-12-18,Croatia,,Zagreb,14. Državno prvenstvo u powerliftingu i bench pressu,Yes
Krešo Samardžija,M,SBD,Raw,,,40-49,Masters 1,118.9,120,195,-205,205,,205,125,130,135,,135,200,210,220,,220,560,1,322.61,322.66,309.15,65.36,Yes,,,HPLS,IPF,2025-12-18,Croatia,,Zagreb,14. Državno prvenstvo u powerliftingu i bench pressu,Yes
Janko Cerjan,M,SBD,Raw,,,14-18,Sub-Juniors,102.8,105,175,-187.5,195,,195,110,120,-127.5,,120,210,225,240,,240,555,2,337.63,334.19,319.10,69.20,Yes,,,HPLS,IPF,2025-12-18,Croatia,,Zagreb,14. Državno prvenstvo u powerliftingu i bench pressu,Yes
Roko Favro,M,SBD,Raw,,,14-18,Sub-Juniors,98.8,105,185,200,207.5,,207.5,125,135,-140,,135,222.5,237.5,240,,240,582.5,1,360.43,356.24,340.33,74.01,Yes,,,HPLS,IPF,2025-12-18,Croatia,,Zagreb,14. Državno prvenstvo u powerliftingu i bench pressu,Yes
Antun Mraz,M,SBD,Raw,,,14-18,Sub-Juniors,84.5,93,197.5,212.5,-225,,212.5,110,117.5,-120,,117.5,210,232.5,-250,,232.5,562.5,3,375.98,371.57,357.13,77.17,Yes,,,HPLS,IPF,2025-12-18,Croatia,,Zagreb,14. Državno prvenstvo u powerliftingu i bench pressu,Yes
Domagoj Lieli,M,SBD,Raw,,,14-18,Sub-Juniors,81.1,83,150,157.5,165,,165,100,105,-107.5,,105,185,200,205,,205,475,3,324.93,321.53,309.62,66.53,Yes,,,HPLS,IPF,2025-12-18,Croatia,,Zagreb,14. Državno prvenstvo u powerliftingu i bench pressu,Yes
Borna Smajić,M,SBD,Raw,,,14-18,Sub-Juniors,72.3,74,125,132.5,140,,140,82.5,87.5,90,,90,140,152.5,160,,160,390,1,286.58,285.27,276.07,57.95,Yes,,,HPLS,IPF,2025-12-18,Croatia,,Zagreb,14. Državno prvenstvo u powerliftingu i bench pressu,Yes
Karlo Knežević,M,SBD,Raw,,,19-23,Juniors,99.5,105,185,202.5,207.5,,207.5,112.5,122.5,130,,130,220,-240,245,,245,582.5,4,359.32,355.22,339.30,73.76,Yes,,,HPLS,IPF,2025-12-18,Croatia,,Zagreb,14. Državno prvenstvo u powerliftingu i bench pressu,Yes
Dominik Vukić,M,SBD,Raw,,,19-23,Juniors,90.4,93,117.5,130,140,,140,105,-115,115,,115,135,150,165,,165,420,7,270.97,267.52,256.35,55.71,Yes,,,HPLS,IPF,2025-12-18,Croatia,,Zagreb,14. Državno prvenstvo u powerliftingu i bench pressu,Yes
Stipe Bilić,M,SBD,Raw,,,19-23,Juniors,91.2,93,135,145,155,,155,-120,120,122.5,,122.5,162.5,-177.5,-177.5,,162.5,440,6,282.63,279.03,267.27,58.11,Yes,,,HPLS,IPF,2025-12-18,Croatia,,Zagreb,14. Državno prvenstvo u powerliftingu i bench pressu,Yes
Luka Jančić,M,SBD,Raw,,,19-23,Juniors,85,93,135,145,155,,155,102.5,110,115,,115,162.5,175,185,,185,455,5,303.15,299.54,287.83,62.23,Yes,,,HPLS,IPF,2025-12-18,Croatia,,Zagreb,14. Državno prvenstvo u powerliftingu i bench pressu,Yes
