Club,Rank,Name,Division,BodyweightKg,TotalKg,Points
Adamas,1,Miloš Mrmoš,Men's Raw Open,90.6,622.5,82.49
Behemot,1,Miro Novaković,Men's Raw Open,118.6,827.5,96.69
Belišće,1,Krešo Samarđija,Men's Raw Master I,119.9,590.0,68.61
Bjelowbar,1,Luka Benšić,Men's Raw Open,81.5,693.0,96.82
Bjelowbar,2,Matija Ožeg,Men's Raw Open,132.0,727.5,81.22
Bjelowbar,3,Roberto Kalem,Men's Raw Open,79.1,517.5,73.41
Bjelowbar,4,Vid Tomljenović,Men's Raw Open,73.0,495.0,73.19
Bjelowbar,5,Ivan Žovan,Men's Raw Open,100.5,500.0,63.02
Depth Dominators,1,Petar Perišić,Men's Raw Open,87.5,522.5,70.44
Galacticos,1,Ivan Lokas,Men's Raw Open,92.5,692.5,90.83
Galacticos,2,Ante Perković,Men's Raw Open,100.0,682.5,86.22
Galacticos,3,Luka Grežina,Men's Raw Open,118.1,717.5,83.99
Galacticos,4,Juraj Kostelić,Men's Raw Sub-Junior,80.7,573.5,80.53
Galacticos,5,Luka Mikulić,Men's Raw Junior,90.4,582.5,77.27
Gumeni Medvjedići,1,Leonardo Blažeković,Men's Raw Open,92.2,782.5,102.8
Gumeni Medvjedići,2,Luka Hrgarek,Men's Raw Open,103.2,750.0,93.35
Gumeni Medvjedići,3,Gabriel Friščić,Men's Raw Junior,81.6,666.0,92.99
Gumeni Medvjedići,4,Andrej Švenda,Men's Raw Open,119.3,747.5,87.12
Gumeni Medvjedići,5,Andrija Adamović,Men's Raw Junior,92.6,625.0,81.94
Liftaonica,1,Antonio Pudina,Men's Raw Open,92.3,725.0,95.2
Liftaonica,2,Patrik Kušević,Men's Raw Open,82.4,612.5,85.1
Liftaonica,3,Marin Štambuk,Men's Raw Open,112.9,700.0,83.6
Liftaonica,4,Pavao Badurina,Men's Raw Open,73.2,497.5,73.45
Nabildani Mozak,1,Robin Kovačić,Men's Raw Junior,90.2,630.0,83.66
Nabildani Mozak,2,Josip Torić,Men's Raw Open,112.7,680.0,81.28
Nabildani Mozak,3,Leon Rozman,Men's Raw Open,73.4,500.0,73.72
Nabildani Mozak,4,Franjo Šute,Men's Raw Junior,72.0,485.0,72.23
Nabildani Mozak,5,Andrija Juginović,Men's Raw Sub-Junior,125.7,620.5,70.7
Osijek 031,1,Matija Diminić,Men's Raw Open,104.5,690.0,85.38
Osijek 031,2,Domagoj Zovkić,Men's Raw Junior,90.0,545.0,72.45
Power Crew,1,Vito Ivanković,Men's Raw Junior,117.5,637.5,74.79
Pozoj,1,Dejan Rodiger,Men's Raw Master II,113.3,571.0,68.09
Rebel Warrior,1,Karlo Mikešić,Men's Raw Open,106.0,837.5,102.95
Rebel Warrior,2,Mate Maleš,Men's Raw Master I,90.2,600.0,79.68
Samo Mišići,1,Ivan Ćorić,Men's Raw Master I,103.2,537.5,66.9
Taz,1,William Vičević,Men's Raw Open,83.0,660.0,91.36
Taz,2,Leon Šušnjar,Men's Raw Open,73.4,502.5,74.08
Taz,3,Noa Miš-Mešić,Men's Raw Junior,88.2,547.5,73.52
Taz,4,Lovro Leleković,Men's Raw Open,124.6,625.0,71.48
Taz,5,Nikola Malić,Men's Raw Sub-Junior,72.0,450.0,67.01
Ultimate,1,Endi Smoković,Men's Raw Open,89.8,695.0,92.5
Virovitica,1,Filip Vlaisavljević,Men's Raw Junior,79.7,532.5,75.25
Virovitica,2,Matija Bajan,Men's Raw Junior,82.5,522.5,72.55
Virovitica,3,Mateo Fijala,Men's Raw Junior,80.5,497.5,69.94
Virovitica,4,Antonio Miletić,Men's Raw Open,70.6,357.5,53.79
Šibenik,1,Kristijan Škugor,Men's Raw Open,118.1,700.0,81.94
Štanga,1,Matej Šalić,Men's Raw Open,92.8,738.5,96.71
Štanga,2,Dorian Mutak,Men's Raw Open,93.1,720.0,94.14
Štanga,3,Petar Rendulić,Men's Raw Open,89.5,652.5,86.98
Štanga,4,Alan Sambol,Men's Raw Open,103.4,665.0,82.69
Štanga,5,Luka Turković,Men's Raw Open,81.5,587.5,82.08
