Club,Rank,Name,Division,BodyweightKg,TotalKg,Points
Bjelowbar,1,Klara Mendaš,Women's Raw Open,57.5,347.5,80.98
Bjelowbar,2,Victoria Otrilla,Women's Raw Open,54.8,330.0,79.8
Bjelowbar,3,Lara Sić,Women's Raw Open,66.6,342.5,72.41
Bjelowbar,4,Daria Bunja,Women's Raw Open,80.8,337.5,64.75
Bjelowbar,5,Lara Dragičević,Women's Raw Junior,73.9,292.5,58.45
Galacticos,1,Maria Magdalena Goričanec,Women's Raw Open,72.9,420.0,84.51
Galacticos,2,Karla Kolić,Women's Raw Open,62.1,340.0,75.09
Galacticos,3,Sara Magaš,Women's Raw Open,65.3,322.5,68.99
Galacticos,4,Matea Kucljak,Women's Raw Open,51.8,267.5,67.77
Galacticos,5,Valeria Matić,Women's Raw Open,55.7,255.0,60.88
Gumeni Medvjedići,1,Lea Žunić,Women's Raw Open,59.8,391.0,88.59
Gumeni Medvjedići,2,Antonela Mahnet,Women's Raw Open,56.0,367.5,87.37
Gumeni Medvjedići,3,Melanija Pomper,Women's Raw Open,72.8,405.0,81.55
Gumeni Medvjedići,4,Tea Tereza Jelinić,Women's Raw Sub-Junior,74.9,375.0,74.45
Gumeni Medvjedići,5,Vita Grgić,Women's Raw Open,72.3,352.5,71.23
Nabildani Mozak,1,Paola Mileusnić,Women's Raw Sub-Junior,57.8,242.5,56.3
Nabildani Mozak,2,Sofija Lekaj,Women's Raw Junior,60.9,245.0,54.82
Power Crew,1,Sanja Marina,Women's Raw Open,62.1,350.0,77.29
Power Crew,2,Renata Gecan-Milek,Women's Raw Master II,61.4,302.5,67.31
Power Crew,3,Natali Rade,Women's Raw Open,67.2,280.0,58.89
Pozoj,1,Melisa Matulin,Women's Raw Open,56.1,355.5,84.4
Rebel Warrior,1,Anamarija Mamić,Women's Raw Open,55.5,352.5,84.39
Samo Mišići,1,Mirna Martinčić,Women's Raw Open,62.7,335.0,73.52
Samo Mišići,2,Mirna Raspor Doričić,Women's Raw Master I,60.5,325.0,73.04
Samo Mišići,3,Branimira Novšak,Women's Raw Open,76.2,355.0,69.9
Taz,1,Nikolina Josipović,Women's Raw Open,68.0,400.0,83.55
Virovitica,1,Matea Bumba,Women's Raw Open,67.7,450.0,94.24
Virovitica,2,Valentina Velić,Women's Raw Junior,74.2,395.0,78.78
Virovitica,3,Paula Pažin,Women's Raw Junior,72.0,347.5,70.37
Virovitica,4,Aleksandra Stjepanović,Women's Raw Master I,50.5,270.0,69.95
Virovitica,5,Magdalena Piličić,Women's Raw Open,70.0,307.5,63.2
Štanga,1,Jelena Ivančić,Women's Raw Open,85.1,427.5,80.33
Štanga,2,Laura Jagečić,Women's Raw Open,50.3,292.5,76.05
Štanga,3,Tamara Mijatović,Women's Raw Open,62.4,345.0,75.95
Štanga,4,Dora Tot,Women's Raw Open,60.6,330.0,74.08
Štanga,5,Katarina Temešberger,Women's Raw Open,71.9,335.0,67.88
